Tm,Rate
ARI,1717.505933
BIS,1396.079266
CDR,1370.55876
DKC,1430.96539
FRS,1430.96539
GNB,1534.229031
IOW,1657.609663
OAK,1430.96539
QDC,1520.83
SDG,1374.57822
SPK,1430.96539
SXF,1677.287736
TSC,1527.45983
