"ARI_Rating","BIS_Rating","CDR_Rating","DKC_Rating","FRS_Rating","GNB_Rating","IOW_Rating","OAK_Rating","QDC_Rating","SDG_Rating","SPK_Rating","SXF_Rating","TSC_Rating","ARI_Wins","BIS_Wins","CDR_Wins","DKC_Wins","FRS_Wins","GNB_Wins","IOW_Wins","OAK_Wins","QDC_Wins","SDG_Wins","SPK_Wins","SXF_Wins","TSC_Wins","SEED1","SEED2","SEED3","SEED4","SEED5","SEED6","SEED7","SEED8","SEMI_LOSER_1","SEMI_LOSER_2","IFL_RU","IFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4","WeeklyWinner5","WeeklyWinner6"
1722.12311553408,1366.33672493323,1358.17811603405,1447.33120478877,1457.10407561151,1532.92917435335,1663.98375767961,1464.38930115731,1458.43963649983,1378.07791852806,1459.84229791063,1652.90255839593,1538.36211757365,10,4,4,7,8,8,10,7,3,5,7,10,8,"SXF","ARI","IOW","FRS","TSC","GNB","DKC","OAK","OAK","TSC","IOW","ARI","FRS","OAK","SDG","SXF",NA,NA
1739.63820471798,1367.78706720633,1409.02692266425,1464.0439515383,1421.17717730416,1501.22044240199,1682.14192360285,1413.50523967562,1522.43410790853,1468.25327533619,1386.60743476021,1665.68574282709,1458.47850905653,13,4,7,6,6,6,10,5,7,10,3,10,4,"ARI","SXF","IOW","SDG","QDC","CDR","FRS","DKC","DKC","SDG","SXF","IOW","FRS","IOW","SDG","SXF",NA,NA
1762.95390177897,1311.58567227702,1406.15298216067,1386.66003149319,1369.3416036022,1507.18857177151,1638.83446298731,1443.7969669239,1513.72672858094,1419.96343171895,1423.17134083105,1730.33612336807,1586.28818150619,12,1,7,3,3,7,9,6,6,8,5,13,11,"SXF","ARI","TSC","IOW","SDG","CDR","GNB","QDC","IOW","TSC","SXF","ARI","DKC","IOW","SDG","SXF",NA,NA
1637.27644461051,1400.64681569269,1297.48887400161,1474.98304813066,1430.37129747092,1545.87980957755,1696.02000125776,1439.43372830821,1580.13510396155,1378.41424996842,1358.27460876322,1706.14204346787,1554.93397378902,7,6,1,9,6,8,12,6,9,5,2,10,10,"IOW","SXF","TSC","DKC","QDC","GNB","ARI","BIS","GNB","QDC","IOW","SXF","DKC","IOW","CDR","SXF",NA,NA
1772.54099056935,1468.8592520866,1352.16975657933,1364.30679416139,1391.30020860435,1591.9166969606,1611.31034536247,1382.44620902152,1480.21045016144,1454.69674505524,1457.15026650365,1644.62569732973,1528.46658660431,13,9,4,2,4,12,8,3,4,10,7,8,7,"ARI","GNB","SDG","BIS","IOW","SXF","TSC","SPK","TSC","BIS","SXF","ARI","FRS","IOW","SDG","BIS",NA,NA
1700.27623369733,1440.1475595596,1385.48918156408,1442.2354913864,1435.7958442158,1464.08842531912,1631.45526204914,1445.84272284323,1499.23756444572,1387.21886382462,1431.83578726822,1682.94942469208,1553.42763813465,10,8,6,7,6,4,9,7,5,5,6,9,9,"ARI","SXF","IOW","TSC","BIS","DKC","OAK","SPK","TSC","IOW","ARI","SXF","DKC","IOW","CDR","SXF",NA,NA
1669.00044075245,1374.35681704991,1315.20504484907,1404.16720850255,1464.52137009532,1482.7924742293,1662.90286697368,1494.94747590579,1543.2471564012,1413.23712634108,1403.12891707325,1739.98279951495,1532.51030131145,9,4,2,4,8,5,11,10,7,7,4,13,7,"SXF","IOW","OAK","ARI","FRS","TSC","QDC","SDG","QDC","ARI","TSC","SXF","DKC","IOW","SDG","SXF",NA,NA
1718.69466531851,1387.55437414057,1316.39515649108,1466.31948727117,1407.88464280085,1556.51742468477,1634.38373745032,1471.44117967898,1625.0660461735,1428.36694538349,1380.66592935372,1595.243218563,1511.46719169003,11,5,2,8,5,9,9,8,10,8,3,6,7,"ARI","QDC","IOW","GNB","DKC","OAK","SDG","TSC","GNB","IOW","ARI","QDC","DKC","OAK","CDR","SXF",NA,NA
1700.67657574453,1337.42116377186,1351.44455834705,1400.27910519444,1410.01664910907,1572.18579935886,1624.87718323113,1439.13895485257,1523.13216650495,1414.36692599526,1437.23994575635,1687.67279648963,1601.5481746443,10,2,4,4,5,10,9,6,7,7,6,9,12,"TSC","ARI","GNB","IOW","SXF","QDC","SDG","SPK","TSC","GNB","ARI","SXF","DKC","IOW","CDR","SXF",NA,NA
1705.630141448,1346.78704624288,1404.56439299872,1420.25076367838,1463.04187739181,1560.75821230917,1612.5600787317,1486.65855672949,1529.05199050855,1338.56785473363,1436.41806427913,1724.1560993238,1471.55492062475,11,3,7,5,7,10,7,8,7,3,6,12,5,"SXF","ARI","GNB","OAK","QDC","FRS","IOW","CDR","IOW","FRS","OAK","SXF","DKC","IOW","CDR","SXF",NA,NA
